"lang"
{
	"Language"		"koreana"
"upgrade_magic_shock_desc"	"능력이 한 번의 타격으로 {s:MinimumDamage} 이상의 피해를 입히면 보너스 <span class=\"highlight\">스피릿 피해</span>를 추가로 입힙니다.<br/>대상은 이 피해를 받은 후 <span class=\"highlight\">{s:ReProcLockoutTime}s</span> 동안 고급 폭발의 효과에 면역이 됩니다."
"MagicShockDamage_label"		"최대 체력 보너스 피해"
"MagicShockDamage_postfix"	"%"

// Mystic Reverb
"upgrade_tech_bleed_desc" "능력 하나를 연동합니다. 해당 능력은 대상 주변의 적에게 <span class=\"highlight\">둔회</span>를 적용하고, 짧은 지연 후 대상 주위의 적들에게 <span class=\"highlight\">입힌 피해의 일정 비율</span>의 추가 피해를 입힙니다."
"upgrade_tech_bleed/modifier_tech_bleed_proc/modifier_tech_bleed"			"신비한 메아리"

// Toxic Bullets
"upgrade_toxic_bullets_desc"	"당신의 총알은 적에게 <span class=\"highlight\">출혈</span>을 축적시켜 시간이 지남에 따라 <span class=\"highlight\">현재 체력의 일정 비율</span>을 잃게 합니다. 또한 출혈 상태인 대상에 <span class=\"highlight\">치유 감소</span>를 적용합니다."
"upgrade_toxic_bullets_buildup"					"독성 축적 중..."
"upgrade_bleeding_bullets_buildup"				"톱니축적 중..."
"upgrade_hemorrhage_buildup"					"적출기 축적 중..."
"upgrade_bleeding_bullets/modifier_item_bleeding_bullets_active/modifier_item_bleeding_bullets_damageovertime"		"톱니 총알"
"modifier_hemorrhage"																								"적출기 총알"
"modifier_item_burning_bullets_damageovertime" 	"출혈"
"upgrade_hemorrhage/modifier_item_hemorrhage/modifier_hemorrhage" "출혈"

// Improved Fire Rate
"upgrade_attack_speed_2_desc"	"당신의 <span class=\"highlight\">연사 속도</span>를 증가시킵니다."

// Spiritual Overflow
"upgrade_tech_overflow_desc"	"적 영웅에게 총알을 발사하여 보너스 <span class=\"highlight\">스피릿 위력</span>을 획득합니다."
"modifier_tech_overflow"		"스피릿의 흐름"
"modifier_tech_overflow_building" "스피릿의 흐름 축적 중..."

"OverflowTechPower_label"		"스피릿 위력"
"OverflowBonusDamage_label"     "보너스 스피릿 피해"
"OverflowBonusDamage_postfix"	"%"

// Drum Magazine
"upgrade_drum_magazine_desc"		"큰 <span class=\"highlight\">탄약 보너스</span>와 <span class=\"highlight\">빠른 재장전 속도</span>를 제공합니다."

// Ricochet
"upgrade_ricochet_desc"		"당신의 총알은 목표 주변의 적들에게 <span class=\"highlight\">반사</span>되어, <span class=\"highlight\">모든 총알 효과</span>를 적용하고 <span class=\"highlight\">원래 피해의 비율</span>을 추가로 입힙니다."
"RicochetTargetsTooltipOnly_label"			"반사 대상"
"RicochetDamagePercent_label"					"반사 피해"
"RicochetDamagePercent_postfix"					"%"
"RicochetRadius_label"							"반사 범위"
"RicochetRadius_postfix"							"m"

// Height Advantage
"upgrade_height_advantage_desc"	"당신이 <span class=\"highlight\">아래에 있는</span> 적을 공격할 때 추가 <span class=\"highlight_weapon\">{s:HighGroundBonusWeaponPower}% 무기 피해</span>를 얻습니다."

// Close Quarters
"upgrade_close_range_desc"	"대상과의 <span class=\"highlight\">근접 거리</span>에서 추가 <span class=\"highlight\">무기 피해</span>를 입힙니다."
"upgrade_close_quarter_combat/modifier_cqc_proc/modifier_slow_base"			"느려짐"

// Long Range
"upgrade_long_range_desc"	"대상과의 거리가 <span class=\"highlight\">최소 거리</span> 이상일 때 추가 <span class=\"highlight\">무기 피해</span>를 입힙니다."

// Mystic Shot
"upgrade_crackshot_desc"	"다음 총알이 보너스 <span class=\"highlight\">스피릿 피해</span>를 입힙니다."
"ProcBonusMagicDamage_prefix"	"{s:sign}"
"ProcBonusMagicDamage_label"	"스피릿 피해"

// Restorative Shot
"upgrade_medic_bullets_desc"	"다음 총알이 대상에 맞으면 당신을 <span class=\"highlight\">치유</span>합니다."
"HealFromHero_label"	"영웅으로부터의 치유"
"HealFromNPC_label"	"NPC로부터의 치유"

// Point Blank
"upgrade_close_quarter_combat_desc"	"대상과의 <span class=\"highlight\">근접 거리</span>에서 무기 피해를 얻고, 총알에 <span class=\"highlight\">이동 속도 둔화</span>를 적용합니다."

		// Headshot Booster
		"upgrade_headshot_booster_desc"		"<span class=\"highlight\">헤드샷</span>으로 보너스 <span class=\"highlight\">무기 피해</span>를 입힙니다."

		// Sharpshooter
		"upgrade_sharpshooter_desc"				"대상과의 거리가 최소 거리 이상일 때 추가 <span class=\"highlight\">무기 피해</span>를 입힙니다."
		
		//Headhunter
		"upgrade_headhunter_desc"	"헤드샷을 적중시키면, 최대 체력의 일정 비율을 치유하고, 잠시 동안 이동 속도가 증가합니다."
		"HealPercentPerHeadshot_label"		"헤드샷 당 치유"
		"HealPercentPerHeadshot_postfix"	"%"

		//Crippling Headshot
		"upgrade_banshee_slugs_headshots_desc"	"<span class=\"highlight\">헤드샷</span>이 대상의 <span class=\"highlight\">총알 및 스피릿 저항</span>을 감소시킵니다."
		"BulletResistReduction_label"		"총탄 저항 감소"
		"BulletResistReduction_postfix"	"%"
		"MagicResistReduction_label"		"스피릿 저항 감소"
		"MagicResistReduction_postfix"	"%"

		// Berserker
		"upgrade_berserker_desc"		"자신이 지속적으로 피해를 입을수록 <span class=\"highlight\">무기 피해</span>가 증가합니다."

		// Frenzy
		"upgrade_fervor_passive"	"체력이 <span class=\"highlight\">{s:LowHealthThreshold}%</span> 이하일 때 능력치 보너스를 얻습니다."
		"FervorTechResist_postfix"  "%"

		// Old Frenzy
		"upgrade_frenzy_vampire_desc"	"총알이 적에게 입히는 피해의 일정 비율만큼 자신을 치유합니다. 적의 체력이 {s:LowHealthPercentThreshold}% 이하일 때, 추가로 <span class=\"highlight\">{s:LowHealthLifeStealPercent}% 총알 생명력 흡수</span>를 얻습니다."
		"upgrade_frenzy_aura_desc"		"근처의 적이 총알로 인해 <span class=\"highlight\">입는 피해</span>가 증가합니다. 적 영웅이 이 오라 아래에서 사망하면, <span class=\"highlight\">+{s:KillBonusMoveSpeedPerStack} m/s</span>의 이동 속도를 얻습니다. 이 효과는 <span class=\"highlight\">사망할 때까지 지속되며</span> 최대 {s:MaxKillBonusMoveSpeedStack}회까지 중첩됩니다."
		"upgrade_frenzy/modifier_frenzy_lowhealth"		"저체력 광란"
		"upgrade_frenzy/modifier_frenzy_aura/modifier_frenzy_kill"		"처치 광란"

		// Soul Shredder Bullets
		"upgrade_tech_defense_shredders_desc"	"총알이 적에게 <span class=\"highlight\">스피릿 피해</span>를 증폭시키는 약화 효과를 적용하며, 적에게 <span class=\"highlight\">스피릿 생명력 흡수</span>를 부여합니다."
		"ShreddersTechAmp_label"				"스피릿 증폭"
		"ShreddersTechAmp_postfix"			"%"
		"modifier_tech_defense_shredders_debuff"		"영혼 분쇄 총알"
		"upgrade_tech_defense_shredders/modifier_tech_defense_shredders_proc/modifier_base"		"스피릿 방어 감소"
		"modifier_tech_defense_shredders"		"스피릿 방어 감소"

		// Monster Rounds
		"upgrade_non_player_bonus_desc"		"적군이 아닌 <span class=\"highlight_weapon\">{s:NonPlayerBonusWeaponPower}% 무기 피해</span>를 얻습니다. <span class=\"highlight\">병사</span>, <span class=\"highlight\">중립</span>, <span class=\"highlight\">보스</span>를 공격할 때 적용됩니다."

		// Hollow Point Ward
		"upgrade_hollow_point_rounds_desc"				"자신의 체력이 <span class=\"highlight\">{s:LifeThreshold}%</span> 이상일 때 추가 <span class=\"highlight\">무기 피해</span>를 입힙니다."
		"upgrade_hollow_point_rounds_shield_desc"		"<span class=\"highlight\">스피릿 방패</span>를 얻어 <span class=\"highlight\">스피릿 피해</span>를 차단합니다. 방패는 전투를 벗어나면 복원됩니다."

		// Pristine Emblem
		"upgrade_pristine_emblem_desc"	"적의 체력이 <span class=\"highlight\">{s:EnemyLifeThreshold}%</span> 이상일 때, 추가 <span class=\"highlight\">무기 피해</span>를 입힙니다."
		"BaseAttackDamagePercentBonus_label"	"무기 피해"
		"BaseAttackDamagePercentBonus_prefix"	"+"
		"BaseAttackDamagePercentBonus_postfix"	"%"

		// Disarming Bullets
		"upgrade_proc_disarm_desc"		"총알이 적을 <span class=\"highlight\">무장 해제</span>시켜 무기 사용을 방지합니다. 피해자들은 적용이 만료된 후 <span class=\"highlight\">{s:ImmunityDuration}s</span> 동안 무장 해제 총알에 면역이 됩니다."

		// Glass Cannon
		"upgrade_glass_cannon_desc"		"각 영웅 처치 시 <span class=\"highlight\">영구 무기 피해</span> 중첩을 하나 얻습니다(최대 {s:MaxStacks}회까지). 사망 시 중첩 하나를 잃습니다."

		// Vampiric Burst
		"upgrade_surging_power_active"	"생명력 흡수, <span class=\"highlight\">연사 속도</span> 및 <span class=\"highlight\">탄약</span>을 부여합니다. 추가된 탄약은 최대 탄창 크기에 제한되지 않습니다."
		"ActiveBonusLifesteal_label"		"총알 생명력 흡수"
		"ActiveBonusLifesteal_postfix"	"%"
		"upgrade_surging_power/surge/windup"					"급속 충전"
		"upgrade_surging_power/surge/active"					"급속 충전"
		"upgrade_surging_power/surge"					"급속 충전"

		// Siphon Bullets
		// "upgrade_siphon_bullets_desc_passive1"	"대상과 <span class=\"highlight\">근접 거리</span>에 있을 때 추가 <span class=\"highlight\">무기 피해</span>를 입힙니다."
		"upgrade_siphon_bullets_desc_passive2"	"총알이 적으로부터 최대 HP를 일시적으로 <span class=\"highlight\">훔칩니다</span>. 약화 효과가 만료되면 적은 빼앗긴 체력을 회복합니다. 적이 사망하면 영구적으로 체력 스택을 훔치며, 당신이 사망하면 중첩을 두 개 잃습니다."
		"modifier_siphon_bullets_health_gain"		"흡혈 총알"
		"modifier_siphon_bullets_health_loss"		"흡혈 총알"
		"HealthSteal_label"						"총 HP 훔치는 비율"

		// Overdrive Clip
		"upgrade_weapon_overdrive_clip_desc"			"<span class=\"highlight\">자신에게 최대 HP의 비례한 피해</span>를 입히고, <span class=\"highlight\">현재 총알 수와 상관없이 최대 탄약으로 리로드</span>합니다. 이 탄약에는 추가 <span class=\"highlight\">용기</span>가 부여됩니다."
		"modifier_upgrade_overdrive_clip"				"과잉 리로드"
		"upgrade_weapon_overdrive_clip/modifier_upgrade_overdrive_clip_reload"		"과잉 리로드"
		"BonusReloadSpeed_label"						"리로드 시간"
		"BonusReloadSpeed_Postfix"						"%"
		"OverdriveClipDuration_label"					"리로드 지속 시간"
		"OverdriveClipDuration_Postfix"					"s"
		"modifier_item_weapon_power_for_health"		"과잉"

		// Burst Fire Actuator
		"upgrade_burst_fire_actuator_desc"				"무기가 시작 클립의 추가 비율만큼 <span class=\"highlight\">버스트 사격</span>을 합니다. 모든 버스트 총알이 적 영웅에 맞으면, <span class=\"highlight\">클립 나머지 동안 임시 기본 총알 피해</span>를 얻습니다."
		"BurstFireShotsFromClipPercent_label"			"버스트 탄약"
		"BurstFireShotsFromClipPercent_Postfix"			"%"
		"PerfectBurstWeaponPower_label"					"완벽한 버스트 보너스 무기 피해"
		"modifier_burst_fire_actuator"					"버스트 액추에이터"
		"BonusHeadshotDamage_label"						"헤드샷 피해 보너스"
		"BonusHeadshotDamage_postfix"					"%"
		"BaseBonusWeaponPower_label"					"용기"
		"BaseBonusWeaponPower_prefix"					"+"

		// Lifestrike
		"upgrade_boxing_glove_desc"						"당신의 <span class=\"highlight\">근접 공격</span>은 <span class=\"highlight\">이동 속도 둔화</span>를 적용하고, <span class=\"highlight\">근접 피해</span>의 {s:LifestealHealPercent}% 만큼 자신을 치유합니다. 이 치유는 비영웅에게는 {s:NonHeroHealPct}% 효과적입니다."
		"BonusMeleeSpeed_label"							"근접 속도"
		"BonusMeleeSpeed_prefix"						"+"
		"BonusMeleeSpeed_postfix"						"%"
		"DisarmDuration_label"							"무장 해제 지속 시간"
		"DisarmDuration_postfix"						"s"

		// Belt-Fed Magazine
		"upgrade_belt_fed_magazine_desc"				"무기에 <span class=\"highlight\">훨씬 더 큰 탄창</span>을 부여하며, <span class=\"isNegative\">회전 시간</span>이 필요합니다. 초기 연사 속도가 느리며, 회전 시간 동안 빨라집니다."
		"SpinUpTime_label"								"회전 시간"
		"SpinUpTime_postfix"							"s"
		"InitialFireRateDecrease_label"					"초기 연사 속도"
		"InitialFireRateDecrease_prefix"				"-"
		"InitialFireRateDecrease_postfix"				"%"
		"MaxFireRateIncrease_prefix"					"+"
		"MaxFireRateIncrease_label"						"최대 연사 속도"
		"MaxFireRateIncrease_postfix"							"%"
		"BonusReloadTime_label"							"추가 리로드 시간"
		"BonusReloadTime_postfix"						"s"

		// Stabilizing Tripod
		"upgrade_stabilizing_tripod_desc"						"<span class=\"highlight\">무장 해제</span>하여 무기를 목표 위치에 던지고, <span class=\"highlight\">필드 센트리</span>로 변환되어 무기와 함께 무한한 탄창으로 적을 공격합니다. 효과를 일찍 끝내려면 센트리를 근접 공격할 수 있습니다."		
		"StationaryRecoilReduction_label"					"움직이지 않을 때 반동 감소"
		"StationaryRecoilReduction_postfix"					"%"
		"StationaryWeaponPower_prefix"						"+"
		"StationaryWeaponPower_label"					"움직이지 않을 때 용기"
		"CasterHealthPercent_label"						"캐스터의 체력 비율"
		"CasterHealthPercent_postfix"					"%"
		"modifier_stabilizing_tripod_self_debuff"				"필드 센트리"

		// Burst Fire
		"upgrade_burst_fire_desc"						"총알이 적 영웅에게 맞을 때 <span class=\"highlight\">연사 속도</span>와 <span class=\"highlight\">이동 속도</span>를 잠시 동안 얻습니다."
		"upgrade_burst_fire/modifier_burst_fire_buff"	"버스트 사격"

		// Arcane Eater
		"upgrade_arcane_eater_desc"					"총알이 적 영웅으로부터 <span class=\"highlight\">스피릿 힘</span>을 훔칩니다. 헤드샷으로 {s:HeadshotBonusSteal}의 추가 스피릿 힘을 훔칩니다. 이 효과는 중첩됩니다."
		"modifier_arcane_eater_debuff"					"스피릿 힘 훔침"
		"modifier_arcane_eater_buff"					"스피릿 힘 획득"
		"SpiritStolePerHit_label"						"총알 당 스피릿 힘 훔침"

		// Predator Precision
		"upgrade_predator_precision_desc"				"체력이 <span class=\"highlight\">낮은</span> 적 영웅에게 추가 <span class=\"highlight\">무기 피해</span>를 입힙니다."
		"modifier_predator_vision"									"프레데터 비전"

		// Intensifying Magazine
		"upgrade_intensifying_clip_desc"				"계속 사격할수록 <span class=\"highlight\">무기 피해</span>가 증가합니다."
		"BaseAttackDamagePercentAtMaxDuration_label"	"최대 무기 피해"
		"BaseAttackDamagePercentAtMaxDuration_postfix"		"%"
		"ShootDurationForMax_label"						"최대 피해까지 사격 시간"
		"ShootDurationForMax_postfix"							"s"
		
		// Escalating Resilience
		"upgrade_reinforcing_casings_desc"    "총알이 적 영웅에게 맞을 때 <span class=\"highlight\">총탄 저항</span>을 부여합니다. <span class=\"highlight\">각 샷은 한 스택만 부여할 수 있습니다.</span>"
		"modifier_reinforcing_casings"			"강화된 저항력"
		"MaxArmorStacks_label"				"최대 총탄 저항"
		"MaxArmorStacks_postfix"				"%"
		"BulletResistPerStack_label"				"스택 당 총탄 저항"
		"BulletResistPerStack_postfix"			"%"
		"BulletResistDuration_label"				"스택 지속 시간"
		"BulletResistDuration_postfix"			"s"

		// Lucky Shot
		"upgrade_critshot_desc"				"총알이 강화될 확률이 있으며, 이로 인해 <span class=\"highlight\">추가 피해</span>와 <span class=\"highlight\">느려짐</span> 효과를 입힙니다."
		"CritDamagePercent_label"				"추가 피해"
		"CritDamagePercent_postfix"			"%"

		// Veil Walker
		"upgrade_veil_walker_desc"			"<span class=\"highlight\">우주 장막</span>을 지나면 <span class=\"highlight\">은신</span>, <span class=\"highlight\">이동 속도 증가</span>, 모든 <span class=\"highlight\">총알 및 스피릿 방패</span>가 회복되며, 다음 탄창에 대해 추가 <span class=\"highlight\">연사 속도</span>를 얻습니다."
		"VeilWalker_MoveSpeed_label"			"은신 이동 속도"
		"VeilWalker_MoveSpeed_postfix"		"m/s"

		//-----------------------------------------------------------------------------
		// Upgrades: Tech
		//-----------------------------------------------------------------------------
		

//Spirit Lifesteal
"upgrade_health_stealing_magic_desc"		"당신의 <span class=\"highlight\">스피릿 아이템과 능력은</span> 피해량의 일정 비율만큼 치유합니다. 비영웅에게는 치유량이 줄어들며, 건물에는 작동하지 않습니다."
"NonHeroAbilityLifestealTooltipOnly_label"			"비영웅 값"
"NonHeroAbilityLifestealTooltipOnly_postfix"		"%"

//Mystic Vulnerability
"upgrade_magic_vulnerability_desc"	"대상이 <span class=\"highlight\">스피릿 피해</span>를 입으면, <span class=\"highlight\">스피릿 저항</span>이 감소합니다."

//Healbane
"upgrade_healbane_desc"	"당신의 <span class=\"highlight\">스피릿 피해</span>는 <span class=\"highlight\">치유 감소</span>를 적용합니다. 이 효과 아래에서 적 영웅이 죽으면, 큰 치유를 받습니다."
"HealOnKill_label"		"영웅 처치 시 치유"

//Mystic Slow
"upgrade_magic_slow_desc"	"대상이 <span class=\"highlight\">스피릿 피해</span>를 입으면, <span class=\"highlight\">이동 속도</span>와 <span class=\"highlight\">연사 속도</span>가 감소합니다."

//Escalating Exposure
"upgrade_escalating_exposure_desc"	"스피릿 피해를 입히면, <span class=\"highlight\">스피릿 증폭</span>이 쌓여 대상에 대한 <span class=\"highlight\">스피릿 피해</span>가 증가합니다."
"upgrade_escalating_exposure/modifier_proc_watcher/modifier_debuff"		"스피릿 갑옷 감소"
"EscalatingExposureProcCooldown_label"	"대상당 최대 빈도"
"EscalatingExposureProcCooldown_postfix"	"초"
"EscalatingExposureTechArmorDamageReduction_label"	"스피릿 피해에 대한 스피릿 저항"
"EscalatingExposureTechArmorDamageReduction_postfix"	"%"

//Mystic Reach
"upgrade_magic_reach_desc"			"능력과 아이템의 <span class=\"highlight\">범위</span>와 <span class=\"highlight\">효과 반경</span>을 증가시킵니다."

//Improved Reach
"upgrade_tech_range_desc"			"능력과 아이템의 <span class=\"highlight\">범위</span>와 <span class=\"highlight\">효과 반경</span>을 증가시킵니다."

//Omni Spirit
"upgrade_long_range_slowing_tech_desc"		"스피릿 피해를 줄 때 적에게 <span class=\"highlight\">이동 속도 둔화</span>를 적용합니다."
"upgrade_long_range_slowing_tech/modifier_long_range_slowing_tech_proc/modifier_slow_base"	"감소됨"

//Full Spectrum
"upgrade_full_spectrum_passive"	"스피릿 피해 모드나 능력으로 히트된 모든 영웅에게 <span class=\"highlight\">보너스 피해</span>를 추가하고, <span class=\"highlight\">이동 속도 둔화</span>를 적용합니다."

//Mystic Range
"upgrade_tech_range_2_desc"		"스피릿의 <span class=\"highlight\">범위</span>, <span class=\"highlight\">오라 반경</span>, 및 <span class=\"highlight\">효과 반경</span>을 증가시킵니다."

//Improved Cooldown
"upgrade_magic_tempo_desc"	"능력과 아이템의 <span class=\"highlight\">쿨다운</span>을 줄입니다."

//Superior Cooldown
"upgrade_cooldown_reduction_desc"	"능력과 아이템의 <span class=\"highlight\">쿨다운</span>을 줄입니다."

//Spiritual Recharge
"upgrade_recharge_duration_reduction_desc"		"능력 충전의 <span class=\"highlight\">충전 시간</span>을 줄입니다."

//Extra Charge
